,name,store_id,partner_name,store_name,address,zip,state,province,area
40,butali_euronics_forli,475,euronics,Euoronics Forlì,"Via Argentina Altobelli 22, Forlì 47122",47122.0,Emilia-Romagna,Forlì-Cesena,north
41,subbyx_bo,subbyx_bo,subbyx,subbyx,subbyx,,,,unknown
42,garmin_test,garmin_test,garmin,garmin,na,,,,unknown
43,mas_tecnologie_legnano,mas_tecnologie_legnano,onedistribution_mas_tecnologie_legnano,Mastecnlogie Legnano,LEGNANO (MI) CORSO MAGENTA 77/A CAP 20025,20025.0,Lombardia,Milano,north
44,call_position_paderno,call_position_paderno,onedistribution_call_position_paderno,Call position Paderno ,PADERNO DUGNANO (MI) VIA ROTONDI 5 CAP 20037,20037.0,Lombardia,Milano,north
45,difix_limbiate,difix_limbiate,onedistribution_difix_limbiate,DiFix Limbiate,via Missori 1 Limbiate (MB) 20812,20812.0,Lombardia,Monza e della Brianza,north
46,cosmotech_2_monza,cosmotech_2_monza,onedistribution_cosmotech_2_monza,Cosmotech Monza,"C.so Milano, 46 - 20900 - Monza (MB)",20900.0,Lombardia,Monza e della Brianza,north
47,cosmotech_merate,cosmotech_merate,onedistribution_cosmotech_merate,Cosmotech Merate,"Via Bergamo, 19 - 23807 -  Merate (LC)",23807.0,Lombardia,Lecco,north
48,greentech_legnano,greentech_legnano,onedistribution_greentech_legnano,GreenTech Legnano,"Corso Magenta, 40, 20025 Legnano (MI)",20025.0,Lombardia,Milano,north
49,one_distribution_cormano,one_distribution_cormano,onedistribution,One Distribution,Cormano 20032 MI via Cantinotti 7,20032.0,Lombardia,Milano,north
50,puntotel_montefiore,puntotel_montefiore,onedistribution_puntotel,One Distribution Montefiore,"P.le B.Croce,6 47921 Rimini (RN)",47921.0,Emilia-Romagna,Rimini,north
51,puntotel_lungosavio,puntotel_lungosavio,onedistribution_puntotel,One Distribution Lungosavio,"Via A.C.Jemolo,110 47521 Cesena (FC)",47521.0,Emilia-Romagna,Forlì-Cesena,north
52,puntotel_rimini,puntotel_rimini,onedistribution_puntotel,Puntotel rimini,"P.le B.Croce,6 47921 Rimini (RN)",47921.0,Emilia-Romagna,Rimini,north
53,cicli_argentin,cicli_argentin,garmin_cicli_argentin,Cicli Argentini,"Borgo Vicenza, 54, 31033, TV",31033.0,Veneto,Treviso,north
54,all_4_cycling,all_4_cycling,garmin_all_4_cycling,All 4 Cycling,"Via Professor Gianfranco Miglio, 2, 21045",21045.0,Lombardia,Varese,north
55,cicli_drigani,cicli_drigani,garmin_cicli_drigani,Cicli Drigani,"Via Lanzo, 207, 10071 Borgaro Torinese TO",10071.0,Piemonte,Torino,north
56,cicli_esposito,cicli_esposito,garmin_cicli_esposito,Cicli Esposito,"Via Carlo de Angeli, 3, 20141 Milano MI",20141.0,Lombardia,Milano,north
57,cicli_francesconi,cicli_francesconi,garmin_cicli_francesconi,Cicli Francesconi,"Via Libertà, 27, 26010 Salvirola CR",26010.0,Lombardia,Cremona,north
58,mio_mio_run,mio_mio_run,garmin_mio_mio_run,Mio Mio Run,"Via Venezia, 16/18, 31020 San Vendemiano TV",31020.0,Veneto,Treviso,north
59,gialdini,gialdini,garmin_gialdini,Gialdini,"Via Triumplina, 45, 25123 Brescia BS",25123.0,Lombardia,Brescia,north
60,podio_sport,podio_sport,garmin_podio_sport,Podio Sport,"Via Valle Po, 99, 12100 Cuneo CN",12100.0,Piemonte,Cuneo,north
61,pro_m,pro_m,garmin_pro_m,Pro M,"Via Gallarate, 108, 20151 Milano MI",20151.0,Lombardia,Milano,north
62,sportissimo,sportissimo,garmin_sportissimo,Sportissimo,"Str. San Faustino, 132, 41124 Modena MO",41124.0,Emilia-Romagna,Modena,north
63,cicli_neri,cicli_neri,garmin_cicli_neri,Cicli Neri,"Via Ferruccio Parri, 641, 47522 Cesena FC",47522.0,Emilia-Romagna,Forlì-Cesena,north
64,macino_elettronica,macino_elettronica,macino,Macino,"Via Monfalcone, 11/15 89013 Gioia Tauro (RC)",89013.0,Calabria,Reggio Calabria,south
65,cdr_mobile_besnate,cdr_mobile_besnate,cdr_mobile_besnate,CDR Mobile Besnate,Via Bernini 1/A - 21010 Besnate (VA),21010.0,Lombardia,Varese,north
66,rtsistem,rtsistem,onedistribution_rtsistem,RT Sistem,"Via Fradaletto 31, Venezia(Mestre), 30173",30173.0,Veneto,Venezia,north
67,butali_euronics_rieti,476,euronics,Euronics Rieti,"via Mercatanti, loc. giardino, Rieti",,,,unknown
68,euronics_dimo_casale,1,euronics_dimo,Euronics Casale,"Viale Cavalli D'Olivola 6, 15033 CASALE MONFE",15033.0,Piemonte,Alessandria,north
69,euronics_dimo_novara,2,euronics_dimo,Euronics Novara,"Via Giovanni Gnifetti, 70, 28100 NOVARA",28100.0,Piemonte,Novara,north
70,euronics_dimo_vercelli,3,euronics_dimo,Euronics Vercelli,Tangenziale Ovest Compartimento Sud Parco Com,,,,unknown
71,euronics_dimo_alessandria,4,euronics_dimo,Euronics Alessandria,"Via Marengo, 64, 15121 ALESSANDRIA",15121.0,Piemonte,Alessandria,north
72,euronics_dimo_biella,7,euronics_dimo,Euronics Biella,"Viale Luigi Tenco, 13900 BIELLA",13900.0,Piemonte,Biella,north
73,euronics_dimo_torino_due,11,euronics_dimo,Euronics Torino 2,"Via Nizza, 30E, 10125 TORINO",10125.0,Piemonte,Torino,north
74,euronics_dimo_tortona,12,euronics_dimo,Euronics Tortona,"Strada Provinciale per Viguzzolo, 2, 15057 TO",15057.0,Piemonte,Alessandria,north
75,euronics_dimo_verbania_f,13,euronics_dimo,Euronics Verbania,"Viale Giuseppe Azari, 94, 28922 VERBANIA",28922.0,Piemonte,Verbano-Cusio-Ossola,north
76,euronics_dimo_cuneo_due,14,euronics_dimo,Euoronics Cuneo,"Via Cascina Colombaro, 26, 12100 CUNEO",12100.0,Piemonte,Cuneo,north
77,euronics_dimo_genova,15,euronics_dimo,Euronics Genova,"Via Romairone 10, 16163 GENOVA",16163.0,Liguria,Genova,north
78,euronics_dimo_cuneo_tre,16,euronics_dimo,Euronics Cuneo San Giuseppe,"Via Margarita, 8, 12100 BORGO SAN GIUSEPPE (C",12100.0,Piemonte,Cuneo,north
79,euronics_dimo_arma_di_taggia,17,euronics_dimo,Euronics Arma di taggia,"Via del Piano Parco Comm.le, 18018 ARMA DI TA",18018.0,Liguria,Imperia,north
80,euronics_dimo_aosta,18,euronics_dimo,Euronics Aosta,"Località Le Grand Chemin, 38, 11020 SAINT CHR",11020.0,Valle d'Aosta,Aosta,north
81,euronics_dimo_alba,19,euronics_dimo,Euronics Alba,"Corso Asti, 24, 12051 ALBA (CN)",12051.0,Piemonte,Cuneo,north
82,euronics_dimo_mondovi,20,euronics_dimo,Euronics Mondovì,"Piazza Mondovicino, 42, 12084 MONDOVI' (CN)",12084.0,Piemonte,Cuneo,north
83,euronics_dimo_rivalta,21,euronics_dimo,Euronics Rivalta di Torino,"Centro Comm. Rivalta, 10040 RIVALTA DI TORINO",10040.0,Piemonte,Torino,north
84,euronics_dimo_torino_tre,22,euronics_dimo,Euronics Torino 3,"Strada Altessano,141, 10151 TORINO",10151.0,Piemonte,Torino,north
85,euronics_dimo_savona,23,euronics_dimo,Euronics Savona,Via Stalingrado Centro Polifunzionale Le Offi,,,,unknown
86,euronics_dimo_ivrea,24,euronics_dimo,Euronics Ivrea,"Via Uscello, 3, 10010 BANCHETTE (TO)",10010.0,Piemonte,Torino,north
87,euronics_dimo_reggio_emilia,26,euronics_dimo,Euronics Reggio emilia,"Viale Regina Elena, 15, 42124 REGGIO EMILIA",42124.0,Emilia-Romagna,Reggio Emilia,north
88,euronics_dimo_modena,27,euronics_dimo,Euronics Modena,"Strada Morane, 500, 41121 MODENA",41121.0,Emilia-Romagna,Modena,north
89,euronics_dimo_carmagnola,28,euronics_dimo,Euronics Carmagnola,"Via Sommariva, 19/1, 10022 CARMAGNOLA (TO)",10022.0,Piemonte,Torino,north
90,euronics_dimo_dalmine,29,euronics_dimo,Euronics Dalmine,"Via Roggia Serio Grande, 14, 24044 DALMINE (B",24044.0,Lombardia,Bergamo,north
91,euronics_dimo_asti,30,euronics_dimo,Euronics Asti,"C.so Alessandria, 272, 14100 ASTI",14100.0,Piemonte,Asti,north
92,euronics_dimo_parma_due,31,euronics_dimo,Euronics Parma,"Via Napoleone Colajanni, 8, 43100 PARMA",43100.0,,,unknown
